,Unique City,No. Charging Stations
1694,"HARBOR SPRINGS, MI",1
1695,"HARDEEVILLE, SC",2
1696,"HARKER HEIGHTS, TX",1
1697,"HARLINGEN, TX",2
1698,"HARMONY, PA",1
1699,"HARPERS FERRY, WV",2
1700,"HARRIMAN, NY",3
1701,"HARRISBURG, NC",1
1702,"HARRISBURG, PA",9
1703,"HARRISON, NJ",3
1704,"HARRISON, NY",2
1705,"HARRISONBURG, VA",12
1706,"HARRODSBURG, KY",1
1707,"HART, MI",1
1708,"HARTFORD, CT",25
1709,"HARTFORD, WI",1
1710,"HARTSDALE, NY",2
1711,"HARTSELLE, AL",1
1712,"HARTSVILLE, SC",2
1713,"HARVEY, IL",1
1714,"HARVEY, LA",2
1715,"HASBROUCK HEIGHTS, NJ",2
1716,"HASTINGS, MI",2
1717,"HASTINGS, MN",4
1718,"HASTINGS, NE",1
1719,"HASTINGS-ON-HUDSON, NY",1
1720,"HATTERAS, NC",1
1721,"HATTIESBURG, MS",4
1722,"HAUPPAUGE, NY",3
1723,"HAVERHILL, MA",3
1724,"HAVRE DE GRACE, MD",4
1725,"HAWAIIAN GARDENS, CA",2
1726,"HAWI, HI",1
1727,"HAWLEY, PA",3
1728,"HAWTHORNE, CA",10
1729,"HAWTHORNE, NJ",2
1730,"HAWTHORNE, NV",2
1731,"HAWTHORNE, NY",1
1732,"HAYMARKET, VA",2
1733,"HAYS, KS",3
1734,"HAYTI, MO",1
1735,"HAYWARD, CA",53
1736,"HAYWARD, MN",1
1737,"HAZEL CREST, IL",1
1738,"HAZELWOOD, MO",1
1739,"HEALDSBURG, CA",29
1740,"HEATH, OH",1
1741,"HEBER SPRINGS, AR",2
1742,"HEBRON, KY",3
1743,"HEFLIN, AL",1
1744,"HELEN, GA",2
1745,"HELENA, MT",4
1746,"HEMET, CA",6
1747,"HEMPSTEAD, TX",1
1748,"HENDERSON, NC",4
1749,"HENDERSON, NV",16
1750,"HENDERSONVILLE, NC",7
1751,"HENDERSONVILLE, TN",1
1752,"HENRIETTA, TX",1
1753,"HENRYETTA, OK",2
1754,"HEPPNER, OR",1
1755,"HERMANTOWN, MN",2
1756,"HERMISTON, OR",2
1757,"HERMITAGE, PA",2
1758,"HERMOSA BEACH, CA",6
1759,"HERNANDO, MS",2
1760,"HERNDON, VA",9
1761,"HERRIMAN, UT",5
1762,"HERSHEY, PA",6
1763,"HESPERIA, CA",4
1764,"HEYBURN, ID",1
1765,"HIALEAH, FL",1
1766,"HIAWATHA, IA",1
1767,"HICKORY, NC",2
1768,"HICKSVILLE, NY",4
1769,"HICO, TX",1
1770,"HIDDEN HILLS, CA",1
1771,"HIGH POINT, NC",3
1772,"HIGHLAND BEACH, FL",3
1773,"HIGHLAND FALLS, NY",1
1774,"HIGHLAND PARK, IL",3
1775,"HIGHLAND PARK, NJ",1
1776,"HIGHLAND VILLAGE, TX",2
1777,"HIGHLAND, CA",8
1778,"HIGHLAND, NY",4
1779,"HIGHLANDS RANCH, CO",10
1780,"HIGHLANDS, NC",4
1781,"HILLIARD, OH",7
1782,"HILLS, MN",1
1783,"HILLSBORO, OR",34
1784,"HILLSBORO, TX",1
1785,"HILLSBOROUGH, NC",6
1786,"HILO, HI",12
1787,"HILTON HEAD ISLAND, SC",17
1788,"HINCKLEY, MN",2
1789,"HINESVILLE, GA",1
1790,"HINTON, WV",1
1791,"HIRAM, GA",2
1792,"HOBART, NY",1
1793,"HOBE SOUND, FL",3
1794,"HOBOKEN, NJ",4
1795,"HODGKINS, IL",1
1796,"HOFFMAN ESTATES, IL",3
1797,"HOLBROOK, AZ",3
1798,"HOLDEN BEACH, NC",1
1799,"HOLDEN, MO",1
1800,"HOLDREGE, NE",1
1801,"HOLIDAY, FL",2
1802,"HOLLADAY, UT",1
1803,"HOLLAND, MI",11
1804,"HOLLISTER, CA",8
1805,"HOLLY HILL, FL",2
1806,"HOLLY SPRINGS, NC",1
1807,"HOLLY, MI",3
1808,"HOLLYWOOD, FL",14
1809,"HOLMEN, WI",1
1810,"HOLSTEIN, IA",1
1811,"HOLTSVILLE, NY",1
1812,"HOLYOKE, MA",3
1813,"HOMER, AK",1
1814,"HOMESTEAD, FL",6
1815,"HOMESTEAD, IA",1
1816,"HOMEWOOD, IL",2
1817,"HOMOSASSA, FL",1
1818,"HONEOYE FALLS, NY",1
1819,"HONESDALE, PA",2
1820,"HONOLULU, HI",119
1821,"HOOD RIVER, OR",8
1822,"HOOKER, OK",1
1823,"HOOKSTOWN, PA",1
1824,"HOOVER, AL",1
1825,"HOPE, AR",1
1826,"HOPEWELL, VA",3
1827,"HOPKINS, MN",2
1828,"HOPKINSVILLE, KY",3
1829,"HOPLAND, CA",2
1830,"HORNBROOK, CA",2
1831,"HORNELL, NY",1
1832,"HORSESHOE BAY, TX",2
1833,"HORTON, KS",1
1834,"HOSCHTON, GA",2
1835,"HOT SPRINGS, AR",3
1836,"HOT SPRINGS, NC",1
1837,"HOT SPRINGS, SD",1
1838,"HOT SPRINGS, VA",1
1839,"HOUGHTON LAKE, MI",1
1840,"HOUGHTON, MI",1
1841,"HOUGHTON, NY",3
1842,"HOUSTON, TX",183
1843,"HOWARD, WI",2
1844,"HOWELL, MI",2
1845,"HOWEY-IN-THE-HILLS, FL",1
1846,"HUBER HEIGHTS, OH",1
1847,"HUDSON, IA",1
1848,"HUDSON, NY",4
1849,"HUDSON, WI",3
1850,"HUDSON, WY",1
1851,"HUDSONVILLE, MI",1
1852,"HUGHESVILLE, MD",2
1853,"HULBERT, OK",1
1854,"HUMBLE, TX",7
1855,"HUMBOLDT, KS",1
1856,"HUMMELS WHARF, PA",1
1857,"HUMMELSTOWN, PA",2
1858,"HUNKER, PA",1
1859,"HUNTERSVILLE, NC",3
1860,"HUNTINGDON, PA",1
1861,"HUNTINGTON BEACH, CA",35
1862,"HUNTINGTON STATION, NY",3
1863,"HUNTINGTON, IN",1
1864,"HUNTINGTON, OR",1
1865,"HUNTINGTON, WV",4
1866,"HUNTSVILLE, AL",12
1867,"HUNTSVILLE, TX",6
1868,"HUNTSVILLE, UT",1
1869,"HURLOCK, MD",2
1870,"HURON, CA",4
1871,"HURON, OH",2
1872,"HURRICANE, UT",2
1873,"HURRICANE, WV",2
1874,"HURST, TX",1
1875,"HUTCHINSON, KS",3
1876,"HUTCHINSON, MN",3
1877,"HUTTO, TX",1
1878,"HYATTSVILLE, MD",4
1879,"IDAHO FALLS, ID",5
1880,"IDAHO SPRINGS, CO",2
1881,"IGNACIO, CO",1
1882,"IMLAY CITY, MI",1
1883,"IMPERIAL BEACH, CA",2
1884,"INCLINE VILLAGE, NV",7
1885,"INDEPENDENCE, KS",1
1886,"INDEPENDENCE, MO",10
1887,"INDEPENDENCE, OR",4
1888,"INDIALANTIC, FL",1
1889,"INDIAN HEAD, MD",3
1890,"INDIAN ROCKS BEACH, FL",3
1891,"INDIAN SHORES, FL",1
1892,"INDIAN SPRINGS, NV",1
1893,"INDIAN TRAIL, NC",2
1894,"INDIAN WELLS, CA",9
1895,"INDIANA, PA",3
1896,"INDIANAPOLIS, IN",44
1897,"INDIO, CA",11
1898,"INGLEWOOD, CA",8
1899,"INGRAM, TX",2
1900,"INTERLOCHEN, MI",1
1901,"INVER GROVE HEIGHTS, MN",2
1902,"INVERNESS, CA",1
1903,"INVERNESS, FL",8
1904,"INWOOD, NY",1
1905,"INWOOD, WV",2
1906,"INYOKERN, CA",1
1907,"IONE, OR",1
1908,"IONIA, MI",1
1909,"IOWA CITY, IA",14
1910,"IRMO, SC",1
1911,"IRONDALE, AL",1
1912,"IRVINE, CA",188
1913,"IRVING, TX",26
1914,"IRVINGTON, NY",2
1915,"IRVINGTON, VA",1
1916,"IRWINDALE, CA",2
1917,"ISANTI, MN",2
1918,"ISLA VISTA, CA",2
1919,"ISLAND CITY, OR",1
1920,"ISLANDIA, NY",1
1921,"ISLE OF PALMS, SC",1
1922,"ISSAQUAH, WA",19
1923,"ITALY, TX",1
1924,"ITASCA, IL",4
1925,"ITHACA, NY",25
1926,"IVINS, UT",1
1927,"JACKPOT, NV",1
1928,"JACKSON, CA",2
1929,"JACKSON, MI",9
1930,"JACKSON, MS",9
1931,"JACKSON, TN",6
1932,"JACKSON, WY",16
1933,"JACKSONVILLE BEACH, FL",3
1934,"JACKSONVILLE, AR",1
1935,"JACKSONVILLE, FL",80
1936,"JACKSONVILLE, NC",3
1937,"JAMESPORT, NY",2
1938,"JAMESTOWN, CA",2
1939,"JAMESTOWN, ND",4
1940,"JAMESTOWN, NY",6
1941,"JANESVILLE, WI",3
1942,"JASPER, AL",1
1943,"JASPER, IN",2
1944,"JASPER, TX",1
1945,"JEANNETTE, PA",1
1946,"JEFFERSON CITY, MO",3
1947,"JEFFERSON, IA",3
1948,"JEFFERSON, LA",1
1949,"JEFFERSON, WI",1
1950,"JEFFERSONTOWN, KY",2
1951,"JEFFERSONVILLE, IN",2
1952,"JEFFERSONVILLE, OH",1
1953,"JENKINTOWN, PA",3
1954,"JENKS, OK",2
1955,"JENNER, CA",3
1956,"JENNINGS, MO",1
1957,"JENSEN BEACH, FL",7
1958,"JERSEY CITY, NJ",31
1959,"JESSUP, MD",4
1960,"JESUP, GA",1
1961,"JIM THORPE, PA",1
1962,"JOHN DAY, OR",1
1963,"JOHNS CREEK, GA",1
1964,"JOHNSON CITY, TN",5
1965,"JOHNSON CITY, TX",3
1966,"JOHNSTON, IA",1
1967,"JOHNSTOWN, NY",4
1968,"JOHNSTOWN, PA",2
1969,"JOLIET, IL",4
1970,"JONESBORO, AR",2
1971,"JONESBORO, GA",1
1972,"JONESBOROUGH, TN",1
1973,"JOPLIN, MO",10
1974,"JORDAN, MN",1
1975,"JORDAN, NY",1
1976,"JOSEPH, OR",1
1977,"JULIAN, CA",1
1978,"JUNCTION CITY, OR",2
1979,"JUNCTION, TX",2
1980,"JUNEAU, AK",16
1981,"JUPITER, FL",4
1982,"KAHUKU, HI",1
1983,"KAHULUI, HI",17
1984,"KAILUA, HI",4
1985,"KALAMAZOO, MI",13
1986,"KALISPELL, MT",3
1987,"KALKASKA, MI",1
1988,"KAMAS, UT",1
1989,"KANAB, UT",5
1990,"KANE, PA",1
1991,"KANEOHE, HI",7
1992,"KANKAKEE, IL",2
1993,"KANNAPOLIS, NC",1
1994,"KANSAS CITY, KS",4
1995,"KANSAS CITY, MO",168
1996,"KAPOLEI, HI",19
1997,"KATONAH, NY",3
1998,"KATY, TX",13
1999,"KAUKAUNA, WI",6
2000,"KAUNAKAKAI, HI",1
2001,"KAYSVILLE, UT",8
2002,"KEARNEY, NE",5
2003,"KEARNS, UT",1
2004,"KEARNY, NJ",1
2005,"KEEDYSVILLE, MD",2
2006,"KEENE, NH",2
2007,"KEIZER, OR",3
2008,"KELSO, WA",2
2009,"KENAI, AK",1
2010,"KENMORE, WA",2
2011,"KENNER, LA",6
2012,"KENNESAW, GA",18
2013,"KENNETT SQUARE, PA",4
2014,"KENNEWICK, WA",7
2015,"KENOSHA, WI",4
2016,"KENT, OH",5
2017,"KENT, WA",14
2018,"KENTFIELD, CA",5
2019,"KENTWOOD, MI",2
2020,"KENWOOD, CA",1
2021,"KERHONKSON, NY",1
2022,"KERMAN, CA",3
2023,"KERRVILLE, TX",4
2024,"KERSEY, CO",1
2025,"KETTERING, OH",1
2026,"KETTLEMAN CITY, CA",1
2027,"KEY BISCAYNE, FL",2
2028,"KEY LARGO, FL",3
2029,"KEY WEST, FL",16
2030,"KEYPORT, NJ",1
2031,"KEYSTONE HEIGHTS, FL",1
2032,"KEYSTONE, SD",3
2033,"KIAWAH ISLAND, SC",1
2034,"KIHEI, HI",12
2035,"KILDEER, IL",1
2036,"KILL DEVIL HILLS, NC",2
2037,"KILLEEN, TX",4
2038,"KILN, MS",1
2039,"KING CITY, CA",4
2040,"KING OF PRUSSIA, PA",14
2041,"KING, NC",1
2042,"KINGDOM CITY, MO",1
2043,"KINGMAN, AZ",3
2044,"KINGS PARK, NY",1
2045,"KINGSBURG, CA",3
2046,"KINGSLAND, GA",3
2047,"KINGSPORT, TN",4
2048,"KINGSTON, NJ",1
2049,"KINGSTON, NY",23
2050,"KINGSTON, WA",1
2051,"KINGSVILLE, TX",2
2052,"KINSTON, NC",5
2053,"KIRKLAND, WA",25
2054,"KIRKSVILLE, MO",3
2055,"KIRKWOOD, CA",1
2056,"KISSIMMEE, FL",30
2057,"KITTANNING, PA",1
2058,"KLAMATH FALLS, OR",4
2059,"KLAMATH, CA",2
2060,"KNIGHTDALE, NC",1
2061,"KNOXVILLE, TN",43
2062,"KOKOMO, IN",1
2063,"KOLOA, HI",2
2064,"KREMMLING, CO",2
2065,"KUTTAWA, KY",1
2066,"KUTZTOWN, PA",1
2067,"KYLE, TX",5
2068,"L'ANSE, MI",1
2069,"LA CONNER, WA",1
2070,"LA CROSSE, WI",6
2071,"LA FARGE, WI",1
2072,"LA GRANDE, OR",1
2073,"LA HABRA, CA",6
2074,"LA JUNTA, CO",2
2075,"LA MESA, CA",6
2076,"LA MIRADA, CA",6
2077,"LA PALMA, CA",3
2078,"LA PLATA, MD",1
2079,"LA PLATA, MO",2
2080,"LA PORTE, IN",4
2081,"LA PORTE, TX",1
2082,"LA QUINTA, CA",7
2083,"LA VALE, MD",1
2084,"LA VERKIN, UT",2
2085,"LA VERNE, CA",2
2086,"LABELLE, FL",2
2087,"LACEY, WA",8
2088,"LADERA HEIGHTS, CA",1
2089,"LADERA RANCH, CA",1
2090,"LADSON, SC",2
2091,"LADY LAKE, FL",2
2092,"LADYSMITH, WI",1
2093,"LAFAYETTE, CA",4
2094,"LAFAYETTE, CO",9
2095,"LAFAYETTE, IN",7
2096,"LAFAYETTE, LA",9
2097,"LAFAYETTE, TN",1
2098,"LAGRANGE, GA",5
2099,"LAGUNA BEACH, CA",8
2100,"LAGUNA HILLS, CA",2
2101,"LAGUNA NIGUEL, CA",3
2102,"LAGUNA WOODS, CA",3
2103,"LAHAINA, HI",12
2104,"LAIE, HI",2
2105,"LAKE ARROWHEAD, CA",1
2106,"LAKE BUENA VISTA, FL",4
2107,"LAKE CHARLES, LA",5
2108,"LAKE CITY, CA",1
2109,"LAKE CITY, CO",2
2110,"LAKE CITY, FL",3
2111,"LAKE CITY, MN",1
2112,"LAKE COMO, NJ",1
2113,"LAKE ELMO, MN",3
2114,"LAKE ELSINORE, CA",6
2115,"LAKE FOREST, CA",6
2116,"LAKE FOREST, IL",2
2117,"LAKE GENEVA, WI",2
2118,"LAKE GROVE, NY",2
2119,"LAKE HAMILTON, AR",1
2120,"LAKE HAVASU CITY, AZ",2
2121,"LAKE IN THE HILLS, IL",1
2122,"LAKE JACKSON, TX",3
2123,"LAKE KATRINE, NY",3
2124,"LAKE LURE, NC",1
2125,"LAKE MARY, FL",7
2126,"LAKE MILLS, WI",1
2127,"LAKE OSWEGO, OR",23
2128,"LAKE OZARK, MO",1
2129,"LAKE PLACID, NY",9
2130,"LAKE STEVENS, WA",1
2131,"LAKE VILLA, IL",1
2132,"LAKE WALES, FL",4
2133,"LAKE WORTH, FL",5
2134,"LAKE ZURICH, IL",3
2135,"LAKELAND, FL",12
2136,"LAKEMOOR, IL",1
2137,"LAKEPORT, CA",2
2138,"LAKESIDE, CA",2
2139,"LAKESIDE, MT",1
2140,"LAKEVILLE, CT",1
2141,"LAKEVILLE, MN",3
2142,"LAKEVILLE, NY",1
2143,"LAKEWAY, TX",2
2144,"LAKEWOOD, CA",6
2145,"LAKEWOOD, CO",13
2146,"LAKEWOOD, NY",2
2147,"LAKEWOOD, OH",3
2148,"LAKEWOOD, WA",6
2149,"LAMBERTVILLE, NJ",1
2150,"LAMONI, IA",1
2151,"LAMONT, CA",1
2152,"LAMPASAS, TX",2
2153,"LANAI CITY, HI",1
2154,"LANCASTER, CA",28
2155,"LANCASTER, OH",2
2156,"LANCASTER, PA",33
2157,"LANCASTER, TX",2
2158,"LANDER, WY",1
2159,"LANDOVER HILLS, MD",1
2160,"LANDOVER, MD",2
2161,"LANDRUM, SC",1
2162,"LANESBORO, MN",1
2163,"LANGHORNE, PA",4
2164,"LANGLEY, OK",1
2165,"LANGLEY, WA",3
2166,"LANHAM, MD",1
2167,"LANSDALE, PA",1
2168,"LANSING, MI",14
2169,"LANTANA, FL",2
2170,"LAPLACE, LA",1
2171,"LARAMIE, WY",1
2172,"LARCHMONT, NY",3
2173,"LAREDO, TX",3
2174,"LARGO, FL",10
2175,"LARKSPUR, CA",5
2176,"LAS CRUCES, NM",4
2177,"LAS VEGAS, NM",1
2178,"LAS VEGAS, NV",129
2179,"LATHROP, CA",4
2180,"LATTA, SC",1
2181,"LAUDERDALE-BY-THE-SEA, FL",2
2182,"LAUGHLIN, NV",3
2183,"LAUREL, DE",1
2184,"LAUREL, MD",7
2185,"LAUREL, NY",1
2186,"LAVONIA, GA",1
2187,"LAWRENCE, KS",4
2188,"LAWRENCE, MA",7
2189,"LAWRENCEVILLE, GA",18
2190,"LAWTON, OK",1
2191,"LAYTON, UT",2
2192,"LAYTONVILLE, CA",3
2193,"LEADVILLE, CO",1
2194,"LEAGUE CITY, TX",5
2195,"LEANDER, TX",1
2196,"LEAVENWORTH, KS",5
2197,"LEAVENWORTH, WA",11
2198,"LEAWOOD, KS",8
2199,"LEBANON, IN",1
2200,"LEBANON, KY",1
2201,"LEBANON, MO",1
2202,"LEBANON, NH",2
2203,"LEBANON, OR",3
2204,"LEBANON, PA",1
2205,"LEBANON, TN",4
2206,"LEBEC, CA",3
2207,"LEE VINING, CA",1
2208,"LEE'S SUMMIT, MO",1
2209,"LEESBURG, FL",4
2210,"LEESBURG, GA",1
2211,"LEESBURG, IN",1
2212,"LEESBURG, VA",6
2213,"LEESPORT, PA",1
2214,"LEHI, UT",18
2215,"LELAND, NC",1
2216,"LEMON GROVE, CA",1
2217,"LEMONT, IL",1
2218,"LEMOORE, CA",4
2219,"LENEXA, KS",14
2220,"LENOIR CITY, TN",5
2221,"LENOIR, NC",4
2222,"LEOLA, PA",1
2223,"LEOMINSTER, MA",5
2224,"LEVITTOWN, PA",1
2225,"LEWES, DE",7
2226,"LEWISBERRY, PA",1
2227,"LEWISTON, CA",1
2228,"LEWISTON, ID",1
2229,"LEWISTON, ME",1
2230,"LEWISTON, MI",1
2231,"LEWISTOWN, MO",1
2232,"LEWISVILLE, TX",5
2233,"LEXINGTON, KY",12
2234,"LEXINGTON, MO",4
2235,"LEXINGTON, NC",6
2236,"LEXINGTON, NE",3
2237,"LEXINGTON, SC",4
2238,"LEXINGTON, VA",6
2239,"LIBERAL, KS",1
2240,"LIBERTY LAKE, WA",6
2241,"LIBERTY, MO",4
2242,"LIBERTYVILLE, IL",5
2243,"LIGHTHOUSE POINT, FL",1
2244,"LIGONIER, IN",2
2245,"LIHUE, HI",14
2246,"LILBURN, GA",1
2247,"LILLINGTON, NC",1
2248,"LIMA, MT",1
2249,"LIMA, OH",7
2250,"LIMON, CO",1
2251,"LINCOLN CITY, OR",6
2252,"LINCOLN, CA",6
2253,"LINCOLN, IL",1
2254,"LINCOLN, NE",24
2255,"LINCOLNSHIRE, IL",1
2256,"LINCOLNTON, NC",1
2257,"LINCOLNWOOD, IL",2
2258,"LINDALE, TX",1
2259,"LINDEN, TN",1
2260,"LINDENHURST, NY",2
2261,"LINDSAY, OK",1
2262,"LINDSBORG, KS",1
2263,"LINTHICUM, MD",1
2264,"LISBON, OH",1
2265,"LISLE, IL",3
2266,"LITCHFIELD PARK, AZ",2
2267,"LITHIA SPRINGS, GA",6
2268,"LITHONIA, GA",4
2269,"LITITZ, PA",2
2270,"LITTLE FALLS, MN",1
2271,"LITTLE ORLEANS, MD",1
2272,"LITTLE RIVER, CA",6
2273,"LITTLE ROCK, AR",24
2274,"LITTLEROCK, CA",1
2275,"LITTLETON, CO",11
2276,"LIVE OAK, FL",1
2277,"LIVE OAK, TX",2
2278,"LIVERMORE, CA",17
2279,"LIVERPOOL, NY",12
2280,"LIVINGSTON, MT",1
2281,"LIVINGSTON, TN",1
2282,"LIVONIA, MI",3
2283,"LLANO, TX",1
2284,"LOCKEFORD, CA",1
2285,"LOCKHART, SC",1
2286,"LOCKPORT, IL",1
2287,"LOCKPORT, NY",4
2288,"LOCUST GROVE, GA",1
2289,"LODI, CA",14
2290,"LOGAN, OH",1
2291,"LOGAN, UT",14
2292,"LOGAN, WV",2
2293,"LOGANSPORT, IN",1
2294,"LOGANVILLE, GA",3
2295,"LOLETA, CA",2
2296,"LOMA LINDA, CA",4
2297,"LOMBARD, IL",5
2298,"LOMIRA, WI",1
2299,"LOMPOC, CA",4
2300,"LONDON, KY",4
2301,"LONE JACK, MO",1
2302,"LONE PINE, CA",1
2303,"LONE TREE, CO",7
2304,"LONG BEACH, CA",90
2305,"LONG BEACH, WA",2
2306,"LONG BRANCH, NJ",1
2307,"LONGMONT, CO",34
2308,"LONGVIEW, TX",3
2309,"LONGVIEW, WA",2
2310,"LONGWOOD, FL",3
2311,"LOOKOUT MOUNTAIN, GA",2
2312,"LOOMIS, CA",1
2313,"LORDSBURG, NM",1
2314,"LORETTO, KY",1
2315,"LOS ALAMOS, CA",3
2316,"LOS ALAMOS, NM",1
2317,"LOS ALTOS HILLS, CA",1
2318,"LOS ALTOS, CA",16
2319,"LOS ANGELES, CA",759
2320,"LOS BANOS, CA",3
2321,"LOS GATOS, CA",20
2322,"LOS LUNAS, NM",2
2323,"LOST HILLS, CA",1
2324,"LOUISBURG, NC",1
2325,"LOUISVILLE, CO",7
2326,"LOUISVILLE, KY",46
2327,"LOVELAND, CO",20
2328,"LOVELAND, OH",1
2329,"LOVELOCK, NV",1
2330,"LOWELL, AR",2
2331,"LOWELL, MA",24
2332,"LOWELL, MI",2
2333,"LOWELL, NC",1
2334,"LUBBOCK, TX",7
2335,"LUCERNE VALLEY, CA",1
2336,"LUDINGTON, MI",2
2337,"LUFKIN, TX",1
2338,"LUMBERTON, NC",3
2339,"LUMBERTON, TX",1
2340,"LURAY, VA",3
2341,"LUSBY, MD",1
2342,"LUSK, WY",1
2343,"LUTSEN, MN",3
2344,"LUTZ, FL",5
2345,"LYNCHBURG, VA",9
2346,"LYNN, MA",1
2347,"LYNNWOOD, WA",20
2348,"LYNWOOD, CA",5
2349,"LYONS FALLS, NY",1
2350,"LYONS, CO",2
2351,"MABLETON, GA",1
2352,"MACEDONIA, OH",1
2353,"MACHESNEY PARK, IL",1
2354,"MACKINAW CITY, MI",2
2355,"MACOMB, IL",2
2356,"MACON, GA",13
2357,"MACUNGIE, PA",1
2358,"MADERA, CA",10
2359,"MADISON HEIGHTS, MI",3
2360,"MADISON, AL",2
2361,"MADISON, GA",1
2362,"MADISON, IN",1
2363,"MADISON, NC",1
2364,"MADISON, NJ",5
2365,"MADISON, OH",1
2366,"MADISON, VA",1
2367,"MADISON, WI",63
2368,"MADISONVILLE, TX",1
2369,"MADRAS, OR",5
2370,"MAGGIE VALLEY, NC",1
2371,"MAGNA, UT",1
2372,"MAGNOLIA, TX",1
2373,"MAHOPAC, NY",1
2374,"MAINEVILLE, OH",1
2375,"MAITLAND, FL",5
2376,"MAKANDA, IL",2
2377,"MAKAWAO, HI",1
2378,"MALIBU, CA",16
2379,"MALVERN, PA",9
2380,"MAMMOTH LAKES, CA",5
2381,"MANAHAWKIN, NJ",3
2382,"MANALAPAN, FL",1
2383,"MANASQUAN, NJ",1
2384,"MANASSAS, VA",8
2385,"MANCHESTER CENTER, VT",3
2386,"MANCHESTER, IA",2
2387,"MANCHESTER, NH",6
2388,"MANCHESTER, TN",3
2389,"MANCOS, CO",1
2390,"MANDEVILLE, LA",2
2391,"MANHATTAN BEACH, CA",22
2392,"MANHATTAN, KS",6
2393,"MANHATTAN, NY",17
2394,"MANITOU SPRINGS, CO",2
2395,"MANITOWOC, WI",1
2396,"MANKATO, MN",9
2397,"MANNFORD, OK",1
2398,"MANOR, TX",1
2399,"MANORVILLE, NY",1
2400,"MANSFIELD, OH",2
2401,"MANSFIELD, TX",1
2402,"MANSON, WA",3
2403,"MANTECA, CA",5
2404,"MANTEO, NC",1
2405,"MANVEL, TX",1
2406,"MAPLE GROVE, MN",6
2407,"MAPLE VALLEY, WA",1
2408,"MAPLEWOOD, MN",15
2409,"MAPLEWOOD, MO",2
2410,"MAQUOKETA, IA",3
2411,"MARANA, AZ",2
2412,"MARATHON, FL",3
2413,"MARBLE FALLS, TX",1
2414,"MARCO ISLAND, FL",6
2415,"MARFA, TX",1
2416,"MARGARETVILLE, NY",1
2417,"MARIANNA, FL",1
2418,"MARICOPA, AZ",1
2419,"MARIETTA, GA",25
2420,"MARIETTA, OH",2
2421,"MARIN CITY, CA",1
2422,"MARINA DEL REY, CA",18
2423,"MARINA, CA",5
2424,"MARION, AR",1
2425,"MARION, KY",1
2426,"MARION, NC",2
2427,"MARION, OH",2
2428,"MARION, TX",1
2429,"MARION, VA",1
2430,"MARIPOSA, CA",1
2431,"MARKED TREE, AR",1
2432,"MARKLEEVILLE, CA",1
2433,"MARKSVILLE, LA",1
2434,"MARLBOROUGH, MA",12
2435,"MARLTON, NJ",1
2436,"MARSHALL, MI",6
2437,"MARSHALL, MN",1
2438,"MARSHALL, TX",1
2439,"MARSHALL, VA",1
2440,"MARSHALL, WI",1
2441,"MARSHALLTOWN, IA",1
2442,"MARSHFIELD, WI",2
2443,"MARTIN, TN",1
2444,"MARTINEZ, CA",9
2445,"MARTINSBURG, WV",3
2446,"MARTINSVILLE, IN",1
2447,"MARY ESTHER, FL",1
2448,"MARYLAND CITY, MD",1
2449,"MARYLAND HEIGHTS, MO",2
2450,"MARYSVILLE, CA",3
2451,"MARYSVILLE, OH",2
2452,"MARYSVILLE, WA",4
2453,"MARYVILLE, MO",3
2454,"MARYVILLE, TN",3
2455,"MASHANTUCKET, CT",2
2456,"MASON CITY, IA",1
2457,"MASON, OH",2
2458,"MASSILLON, OH",2
2459,"MATAMORAS, PA",2
2460,"MATTAWAN, MI",1
2461,"MATTESON, IL",1
2462,"MATTHEWS, NC",3
2463,"MATTOON, IL",3
2464,"MAUMEE, OH",5
2465,"MAUSTON, WI",1
2466,"MAYER, AZ",1
2467,"MAYFIELD HEIGHTS, OH",2
2468,"MAYFIELD, KY",1
2469,"MAYVILLE, WI",1
2470,"MCALESTER, OK",4
2471,"MCALLEN, TX",7
2472,"MCARTHUR, CA",1
2473,"MCCLELLAN PARK, CA",6
2474,"MCCOMB, MS",1
2475,"MCCORDSVILLE, IN",3
2476,"MCDERMITT, NV",1
2477,"MCDONOUGH, GA",6
2478,"MCFARLAND, WI",1
2479,"MCGREGOR, TX",1
2480,"MCHENRY, IL",2
2481,"MCKINLEYVILLE, CA",1
2482,"MCKINNEY, TX",9
2483,"MCLEAN, VA",18
2484,"MCLEANSVILLE, NC",1
2485,"MCMINNVILLE, OR",7
2486,"MCMINNVILLE, TN",2
2487,"MEAD, WA",1
2488,"MEADVILLE, PA",1
2489,"MEBANE, NC",3
2490,"MECHANICSBURG, PA",7
2491,"MECHANICSVILLE, VA",1
2492,"MEDFORD, MA",9
2493,"MEDFORD, NY",2
2494,"MEDFORD, OR",12
2495,"MEDIA, PA",2
2496,"MEDICAL LAKE, WA",1
2497,"MEDINA, OH",5
2498,"MEEKER, CO",2
2499,"MELBOURNE BEACH, FL",3
2500,"MELBOURNE, FL",11
2501,"MELROSE PARK, IL",2
2502,"MELROSE, MA",3
2503,"MELVILLE, NY",2
2504,"MEMPHIS, TN",24
2505,"MENANDS, NY",1
2506,"MENASHA, WI",3
2507,"MENDOCINO, CA",8
2508,"MENDOTA, CA",4
2509,"MENIFEE, CA",5
2510,"MENLO PARK, CA",62
2511,"MENOMONEE FALLS, WI",1
2512,"MENOMONIE, WI",2
2513,"MENTOR, OH",6
2514,"MEQUON, WI",4
