,Unique City,No. Charging Stations
278,"BEDFORD, TX",3
279,"BEDFORD, VA",2
280,"BEE CAVE, TX",5
281,"BEL AIR, MD",8
282,"BELFAIR, WA",1
283,"BELFAST, ME",1
284,"BELGRADE, MT",1
285,"BELLAIRE, MI",1
286,"BELLE PLAINE, MN",1
287,"BELLE VERNON, PA",1
288,"BELLEFONTAINE, OH",1
289,"BELLEFONTE, PA",5
290,"BELLEVILLE, IL",2
291,"BELLEVILLE, MI",3
292,"BELLEVUE, ID",2
293,"BELLEVUE, NE",1
294,"BELLEVUE, WA",92
295,"BELLFLOWER, CA",3
296,"BELLINGHAM, WA",23
297,"BELLMEAD, TX",2
298,"BELLMORE, NY",1
299,"BELLVILLE, OH",1
300,"BELMONT, CA",4
301,"BELMONT, NC",2
302,"BELOIT, WI",1
303,"BELPRE, OH",1
304,"BELTON, MO",4
305,"BELTON, TX",1
306,"BELTSVILLE, MD",2
307,"BELVEDERE, CA",1
308,"BEMIDJI, MN",4
309,"BEND, OR",25
310,"BENICIA, CA",3
311,"BENNETTSVILLE, SC",1
312,"BENSENVILLE, IL",2
313,"BENSON, AZ",1
314,"BENSON, NC",2
315,"BENTLEYVILLE, PA",2
316,"BENTON CITY, WA",1
317,"BENTON HARBOR, MI",5
318,"BENTON, AR",1
319,"BENTONVILLE, AR",12
320,"BEREA, KY",2
321,"BEREA, OH",1
322,"BERGENFIELD, NJ",1
323,"BERKELEY, CA",23
324,"BERLIN, WI",1
325,"BERNARDSVILLE, NJ",3
326,"BERRYVILLE, VA",1
327,"BERTHOUD, CO",1
328,"BERWYN HEIGHTS, MD",1
329,"BERWYN, IL",1
330,"BERWYN, PA",6
331,"BESSEMER CITY, NC",1
332,"BESSEMER, AL",1
333,"BETHANY BEACH, DE",1
334,"BETHANY, MO",1
335,"BETHEL PARK, PA",1
336,"BETHESDA, MD",29
337,"BETHLEHEM, PA",18
338,"BETHPAGE, NY",1
339,"BETTENDORF, IA",2
340,"BETTERTON, MD",1
341,"BEULAH, ND",1
342,"BEVERLY HILLS, CA",36
343,"BEVERLY, MA",12
344,"BEXLEY, OH",3
345,"BIG BEND, WI",1
346,"BIG RAPIDS, MI",3
347,"BIG SKY, MT",4
348,"BIG TIMBER, MT",1
349,"BIGFORK, MT",1
350,"BIGLERVILLE, PA",1
351,"BILLINGS, MT",4
352,"BILOXI, MS",10
353,"BINGER, OK",1
354,"BINGHAMTON, NY",12
355,"BIRCH RUN, MI",1
356,"BIRCHWOOD, WI",1
357,"BIRMINGHAM, AL",22
358,"BIRMINGHAM, MI",1
359,"BISBEE, AZ",1
360,"BISCOE, NC",1
361,"BISHOP, CA",2
362,"BISMARCK, ND",4
363,"BIXBY, OK",1
364,"BLACK HAWK, CO",2
365,"BLACK MOUNTAIN, NC",1
366,"BLACKSBURG, VA",9
367,"BLACKSTONE, VA",1
368,"BLACKWELL, OK",2
369,"BLAINE, MN",5
370,"BLAINE, WA",4
371,"BLAIRSVILLE, GA",2
372,"BLANDING, UT",1
373,"BLAUVELT, NY",1
374,"BLOOMFIELD HILLS, MI",3
375,"BLOOMINGDALE, IL",2
376,"BLOOMINGTON, IL",19
377,"BLOOMINGTON, IN",6
378,"BLOOMINGTON, MN",12
379,"BLOOMSBURG, PA",4
380,"BLOWING ROCK, NC",7
381,"BLUE ASH, OH",2
382,"BLUE BELL, PA",2
383,"BLUE EYE, MO",1
384,"BLUE LAKE, CA",2
385,"BLUE RIDGE, GA",1
386,"BLUE SPRINGS, MO",7
387,"BLUEFIELD, WV",2
388,"BLUFF, UT",2
389,"BLUFFTON, IN",1
390,"BLUFFTON, SC",5
391,"BLYTHE, CA",4
392,"BLYTHEWOOD, SC",2
393,"BOARDMAN, OH",1
394,"BOAZ, AL",1
395,"BOCA RATON, FL",36
396,"BOCK, MN",1
397,"BODEGA BAY, CA",2
398,"BOERNE, TX",3
399,"BOHEMIA, NY",2
400,"BOILING SPRINGS, SC",1
401,"BOISE, ID",31
402,"BOLINGBROOK, IL",8
403,"BOLIVAR, MO",3
404,"BOLTON LANDING, NY",1
405,"BONITA SPRINGS, FL",3
406,"BONNERS FERRY, ID",2
407,"BOONE, CO",1
