Rank,Name[Note 1],city_cleaned,Population (2010 Census),Land Area (sq km),Land Area (sq mi),Density (Population / sq km),Density (Population / sq mi),Central City Population (2010 Census),Central City Pop % of Urban Area,Central City Land Area,Central City Land Area % of Urban Area
426,"Gadsden, AL",Gadsden,"64,172",186.6,72,343.9,890.8,,,,
427,"Saratoga Springs, NY",Saratoga Springs,"64,100",117.8,45.5,544.1,"1,409.30",,,,
428,"Petaluma, CA",Petaluma,"64,078",55.2,21.3,"1,161.20","3,007.60",,,,
429,"Twin Rivers–Hightstown, NJ",Twin Rivers,"64,037",91.3,35.2,701.7,"1,817.30",,,,
430,"Beckley, WV",Beckley,"64,022",157.9,61,405.4,"1,050.00",,,,
431,"Longview, WA–OR",Longview,"63,952",85.1,32.9,751.4,"1,946.10",,,,
432,"Beloit, WI–IL",Beloit,"63,835",89,34.4,717.5,"1,858.40",,,,
433,"Los Lunas, NM",Los Lunas,"63,758",179.4,69.3,355.4,920.5,,,,
434,"Victoria, TX",Victoria,"63,683",75.2,29,847.2,"2,194.20",,,,
435,"Mount Vernon, WA",Mount Vernon,"62,966",89.3,34.5,705.3,"1,826.60",,,,
436,"Corvallis, OR",Corvallis,"62,433",54.7,21.1,"1,141.70","2,956.90",,,,
437,"Kokomo, IN",Kokomo,"62,182",93.9,36.3,662,"1,714.70",,,,
438,"Sherman–Denison, TX",Sherman,"61,900",93.1,35.9,665.2,"1,722.90",,,,
439,"Sebring–Avon Park, FL",Sebring,"61,625",119.6,46.2,515.3,"1,334.70",,,,
440,"Grand Forks, ND–MN",Grand Forks,"61,270",63.3,24.4,967.8,"2,506.60",,,,
441,"Bangor, ME",Bangor,"61,210",110.1,42.5,556,"1,440.00",,,,
442,"Goldsboro, NC",Goldsboro,"61,054",137,52.9,445.5,"1,153.80",,,,
443,"Benton Harbor–St. Joseph–Fair Plain, MI",Benton Harbor,"61,022",120.9,46.7,504.8,"1,307.50",,,,
444,"Rome, GA",Rome,"60,851",123.5,47.7,492.9,"1,276.60",,,,
445,"Ames, IA",Ames,"60,438",60.2,23.2,"1,004.50","2,601.70",,,,
446,"Lewiston, ME",Lewiston,"59,397",91.7,35.4,647.9,"1,678.00",,,,
447,"San Luis Obispo, CA",San Luis Obispo,"59,219",52.9,20.4,"1,120.10","2,900.90",,,,
448,"Pittsfield, MA",Pittsfield,"59,124",86.8,33.5,681.4,"1,764.90",,,,
449,"Morristown, TN",Morristown,"59,036",155,59.8,380.9,986.5,,,,
450,"Midland, MI",Midland,"59,014",116.2,44.9,507.8,"1,315.20",,,,
451,"Lexington Park–California–Chesapeake Ranch Estates, MD",Lexington Park,"58,875",129.3,49.9,455.2,"1,179.00",,,,
452,"Jefferson City, MO",Jefferson City,"58,533",103.6,40,565.1,"1,463.70",,,,
453,"Middletown, NY",Middletown,"58,381",81.1,31.3,719.8,"1,864.30",,,,
454,"Carson City, NV",Carson City,"58,079",59.8,23.1,971.3,"2,515.70",,,,
455,"Watertown, NY",Watertown,"57,840",106,40.9,545.5,"1,412.70",,,,
456,"Mankato, MN",Mankato,"57,584",68.3,26.4,843,"2,183.40",,,,
457,"Kingston, NY",Kingston,"57,442",110.9,42.8,517.7,"1,340.90",,,,
458,"Daphne–Fairhope, AL",Daphne,"57,383",143.1,55.3,401,"1,038.70",,,,
459,"Albany, OR",Albany,"56,997",62.1,24,918.4,"2,378.60",,,,
460,"Hazleton, PA",Hazleton,"56,827",80.9,31.2,702.5,"1,819.50",,,,
461,"Staunton–Waynesboro, VA",Staunton,"56,611",98.8,38.1,573.2,"1,484.50",,,,
462,"Williamsport, PA",Williamsport,"56,142",68.6,26.5,818,"2,118.70",,,,
463,"Kahului, HI",Kahului,"55,934",43.2,16.7,"1,294.90","3,353.90",,,,
464,"Walla Walla, WA–OR",Walla Walla,"55,805",71.7,27.7,778.8,"2,017.00",,,,
465,"Woodland, CA",Woodland,"55,513",31.6,12.2,"1,757.10","4,550.80",,,,
466,"Hot Springs, AR",Hot Springs,"55,121",116.4,44.9,473.7,"1,227.00",,,,
467,"Columbus, IN",Columbus,"54,933",70.6,27.3,778.3,"2,015.80",,,,
468,"Fond du Lac, WI",Fond du Lac,"54,901",74.7,28.9,734.7,"1,903.00",,,,
469,"Manhattan, KS",Manhattan,"54,622",53.6,20.7,"1,018.20","2,637.00",,,,
470,"Titusville, FL",Titusville,"54,386",77.9,30.1,698.3,"1,808.70",,,,
471,"Delano, CA",Delano,"54,372",25.7,9.9,"2,116.90","5,482.70",,,,
472,"East Stroudsburg, PA–NJ",East Stroudsburg,"54,316",134.9,52.1,402.5,"1,042.50",,,,
473,"Ithaca, NY",Ithaca,"53,661",63.7,24.6,842.9,"2,183.10",,,,
474,"Bloomsburg–Berwick, PA",Bloomsburg,"53,618",84.7,32.7,633.4,"1,640.50",,,,
475,"Pine Bluff, AR",Pine Bluff,"53,495",96.3,37.2,555.5,"1,438.70",,,,
476,"Lake Havasu City, AZ",Lake Havasu City,"53,427",76.5,29.5,698.3,"1,808.50",,,,
477,"Farmington, NM",Farmington,"53,049",90.4,34.9,587.1,"1,520.50",,,,
478,"Cape Girardeau, MO–IL",Cape Girardeau,"52,900",90.7,35,583,"1,510.10",,,,
479,"San Marcos, TX",San Marcos,"52,826",68.9,26.6,767.2,"1,987.10",,,,
480,"Sierra Vista, AZ",Sierra Vista,"52,745",78.4,30.3,672.6,"1,741.90",,,,
481,"Cartersville, GA",Cartersville,"52,477",131.1,50.6,400.4,"1,037.10",,,,
482,"Arroyo Grande–Grover Beach, CA",Arroyo Grande,"52,000",59.6,23,872.2,"2,259.00",,,,
483,"Lewiston, ID–WA",Lewiston,"51,924",73.1,28.2,710.4,"1,839.90",,,,
484,"Cumberland, MD–WV–PA",Cumberland,"51,899",84.5,32.6,614.1,"1,590.50",,,,
485,"Lompoc, CA",Lompoc,"51,509",27.7,10.7,"1,859.40","4,815.70",,,,
486,"Hinesville, GA",Hinesville,"51,456",80.7,31.1,637.9,"1,652.30",,,,
487,"Uniontown–Connellsville, PA",Uniontown,"51,370",100.6,38.8,510.9,"1,323.20",,,,
488,"Casa Grande, AZ",Casa Grande,"51,331",57.7,22.3,890.1,"2,305.40",,,,
489,"Villas, NJ",Villas,"51,291",87.7,33.9,584.6,"1,514.00",,,,
490,"Monroe, MI",Monroe,"51,240",83.1,32.1,616.3,"1,596.30",,,,
491,"Brunswick, GA",Brunswick,"51,024",112.4,43.4,454.1,"1,176.20",,,,
492,"Danville, IL",Danville,"50,996",77.2,29.8,660.6,"1,710.90",,,,
493,"Chambersburg, PA",Chambersburg,"50,887",96.8,37.4,525.8,"1,361.70",,,,
494,"Grants Pass, OR",Grants Pass,"50,520",70.4,27.2,717.2,"1,857.70",,,,
495,"New Bern, NC",New Bern,"50,503",112.4,43.4,449.2,"1,163.40",,,,
496,"Grand Island, NE",Grand Island,"50,440",72.9,28.1,692.3,"1,793.10",,,,
497,"Pascagoula, MS",Pascagoula,"50,428",102.4,39.5,492.4,"1,275.40",,,,
