,city_ascii,state_id,state_name,lat,lng,population,Density(km^2),Unique City,Land Area (sq km),No. of Charge Stations,No. of McDonald's,No. of Starbucks
38,JACKSONVILLE,FL,Florida,30.3322,-81.6749,1181496,470.0,"JACKSONVILLE, FL",1373,80,61,54
39,SALT LAKE CITY,UT,Utah,40.7777,-111.9306,1098526,699.0,"SALT LAKE CITY, UT",719,108,45,56
40,NASHVILLE,TN,Tennessee,36.1715,-86.7843,1081903,544.0,"NASHVILLE, TN",1459,96,49,53
41,RICHMOND,VA,Virginia,37.5295,-77.4756,1075798,1484.0,"RICHMOND, VA",1274,53,44,64
42,MEMPHIS,TN,Tennessee,35.1046,-89.9773,1066967,792.0,"MEMPHIS, TN",1288,24,48,40
43,RALEIGH,NC,North Carolina,35.8325,-78.6435,1038738,1254.0,"RALEIGH, NC",1342,81,51,73
44,NEW ORLEANS,LA,Louisiana,30.0687,-89.9288,1020886,889.0,"NEW ORLEANS, LA",651,18,37,35
45,LOUISVILLE,KY,Kentucky,38.1663,-85.6485,1005654,905.0,"LOUISVILLE, KY",1234,46,57,47
46,OKLAHOMA CITY,OK,Oklahoma,35.4676,-97.5136,972943,417.0,"OKLAHOMA CITY, OK",1063,34,58,35
47,BRIDGEPORT,CT,Connecticut,41.1918,-73.1953,924449,3470.0,"BRIDGEPORT, CT",1207,6,12,8
48,BUFFALO,NY,New York,42.9016,-78.8487,914341,2441.0,"BUFFALO, NY",984,63,39,31
49,HARTFORD,CT,Connecticut,41.7661,-72.6834,905152,2712.0,"HARTFORD, CT",1337,25,9,13
50,TUCSON,AZ,Arizona,32.1545,-110.8782,888486,889.0,"TUCSON, AZ",915,48,39,71
51,OMAHA,NE,Nebraska,41.2627,-96.0522,847819,1309.0,"OMAHA, NE",702,29,30,37
52,EL PASO,TX,Texas,31.8479,-106.4309,843386,1022.0,"EL PASO, TX",649,20,39,33
53,MCALLEN,TX,Texas,26.2273,-98.2471,804114,841.0,"MCALLEN, TX",927,7,11,9
54,ALBUQUERQUE,NM,New Mexico,35.1053,-106.6464,761195,1155.0,"ALBUQUERQUE, NM",649,28,41,37
55,BIRMINGHAM,AL,Alabama,33.5277,-86.7987,739573,553.0,"BIRMINGHAM, AL",1372,22,42,28
56,SARASOTA,FL,Florida,27.3386,-82.5431,722243,1528.0,"SARASOTA, FL",846,47,15,23
57,DAYTON,OH,Ohio,39.7797,-84.1998,718353,978.0,"DAYTON, OH",910,24,45,32
58,ROCHESTER,NY,New York,43.168,-77.6162,703952,2220.0,"ROCHESTER, NY",840,66,28,28
59,FRESNO,CA,California,36.7831,-119.7941,703498,1789.0,"FRESNO, CA",443,61,36,59
60,ALLENTOWN,PA,Pennsylvania,40.5961,-75.4756,683794,2672.0,"ALLENTOWN, PA",896,18,14,12
61,TULSA,OK,Oklahoma,36.1284,-95.9042,671033,784.0,"TULSA, OK",870,39,40,29
62,CAPE CORAL,FL,Florida,26.6446,-81.9956,668382,708.0,"CAPE CORAL, FL",855,1,20,12
63,CONCORD,CA,California,37.9722,-122.0016,652308,1633.0,"CONCORD, CA",527,21,9,41
64,COLORADO SPRINGS,CO,Colorado,38.8674,-104.7606,642413,946.0,"COLORADO SPRINGS, CO",486,38,24,52
65,CHARLESTON,SC,South Carolina,32.8153,-79.9628,628377,480.0,"CHARLESTON, SC",759,22,10,24
66,SPRINGFIELD,MA,Massachusetts,42.1155,-72.5395,623401,1860.0,"SPRINGFIELD, MA",902,15,18,12
67,GRAND RAPIDS,MI,Michigan,42.961999999999996,-85.6562,609314,1734.0,"GRAND RAPIDS, MI",726,37,34,38
68,MISSION VIEJO,CA,California,33.6095,-117.655,590249,2058.0,"MISSION VIEJO, CA",389,7,13,59
69,ALBANY,NY,New York,42.6664,-73.7987,586383,1740.0,"ALBANY, NY",765,55,5,22
70,KNOXVILLE,TN,Tennessee,35.9692,-83.9496,586048,733.0,"KNOXVILLE, TN",1134,43,36,27
71,BAKERSFIELD,CA,California,35.3529,-119.0359,579295,990.0,"BAKERSFIELD, CA",358,21,27,40
72,OGDEN,UT,Utah,41.2278,-111.9682,578523,1230.0,"OGDEN, UT",563,19,13,10
73,BATON ROUGE,LA,Louisiana,30.4418,-91.131,570308,983.0,"BATON ROUGE, LA",950,23,23,18
74,AKRON,OH,Ohio,41.0798,-81.5219,565208,1231.0,"AKRON, OH",842,14,39,29
75,NEW HAVEN,CT,Connecticut,41.3112,-72.9246,564830,2690.0,"NEW HAVEN, CT",792,15,13,8
76,COLUMBIA,SC,South Carolina,34.0376,-80.9037,560041,373.0,"COLUMBIA, SC",984,33,0,28
77,PALM BAY,FL,Florida,27.955,-80.6627,507002,456.0,"PALM BAY, FL",600,2,12,9
78,PROVO,UT,Utah,40.2457,-111.6457,500617,1080.0,"PROVO, UT",437,8,5,3
79,WORCESTER,MA,Massachusetts,42.2705,-71.8079,498328,1916.0,"WORCESTER, MA",787,22,9,7
80,MURRIETA,CA,California,33.571999999999996,-117.1909,496046,1335.0,"MURRIETA, CA",418,14,11,31
81,GREENVILLE,SC,South Carolina,34.8353,-82.3647,484465,920.0,"GREENVILLE, SC",829,37,18,23
82,WICHITA,KS,Kansas,37.6896,-97.3442,482249,931.0,"WICHITA, KS",556,9,32,23
83,TOLEDO,OH,Ohio,41.6639,-83.5822,482111,1308.0,"TOLEDO, OH",622,11,31,15
84,DES MOINES,IA,Iowa,41.5725,-93.6105,473957,938.0,"DES MOINES, IA",519,13,18,14
85,PORT ST. LUCIE,FL,Florida,27.2796,-80.3883,461152,653.0,"PORT ST. LUCIE, FL",539,3,22,11
86,DENTON,TX,Texas,33.2176,-97.1419,457177,567.0,"DENTON, TX",376,13,7,8
87,MADISON,WI,Wisconsin,43.0826,-89.3931,447245,1263.0,"MADISON, WI",391,63,26,16
88,RENO,NV,Nevada,39.5497,-119.8483,445020,907.0,"RENO, NV",425,50,21,40
89,HARRISBURG,PA,Pennsylvania,40.2752,-76.8843,442289,2343.0,"HARRISBURG, PA",672,9,18,14
90,LITTLE ROCK,AR,Arkansas,34.7256,-92.3576,439815,634.0,"LITTLE ROCK, AR",669,24,25,17
91,DURHAM,NC,North Carolina,35.9794,-78.9031,424700,959.0,"DURHAM, NC",470,42,28,46
92,BONITA SPRINGS,FL,Florida,26.3559,-81.7861,421291,600.0,"BONITA SPRINGS, FL",484,3,0,3
93,INDIO,CA,California,33.7346,-116.2346,417059,1066.0,"INDIO, CA",372,11,8,19
94,PALM COAST,FL,Florida,29.5392,-81.24600000000001,417007,364.0,"PALM COAST, FL",464,4,4,2
95,CHATTANOOGA,TN,Tennessee,35.0657,-85.2488,415501,493.0,"CHATTANOOGA, TN",777,43,19,14
96,SPOKANE,WA,Washington,47.6671,-117.43299999999999,412275,1247.0,"SPOKANE, WA",547,49,21,31
97,SYRACUSE,NY,New York,43.0409,-76.1438,404223,2195.0,"SYRACUSE, NY",504,19,15,13
98,LANCASTER,PA,Pennsylvania,40.0421,-76.3012,401524,3166.0,"LANCASTER, PA",641,33,10,10
99,STOCKTON,CA,California,37.9765,-121.3109,397264,1941.0,"STOCKTON, CA",239,19,25,36
100,POUGHKEEPSIE,NY,New York,41.6949,-73.921,394760,2290.0,"POUGHKEEPSIE, NY",847,11,8,5
101,AUGUSTA,GA,Georgia,33.3645,-82.0708,390809,252.0,"AUGUSTA, GA",672,12,16,15
102,BOISE,ID,Idaho,43.6007,-116.2312,389280,1056.0,"BOISE, ID",346,31,14,29
103,OXNARD,CA,California,34.1963,-119.1815,387647,3040.0,"OXNARD, CA",218,29,13,9
104,MODESTO,CA,California,37.6374,-121.0028,383134,1933.0,"MODESTO, CA",238,11,17,24
105,KISSIMMEE,FL,Florida,28.3042,-81.4164,382720,1349.0,"KISSIMMEE, FL",409,30,65,28
106,FAYETTEVILLE,AR,Arkansas,36.0713,-94.166,351246,625.0,"FAYETTEVILLE, AR",486,7,12,6
107,PENSACOLA,FL,Florida,30.4427,-87.1886,346921,903.0,"PENSACOLA, FL",602,4,20,13
108,VICTORVILLE,CA,California,34.5277,-117.3536,346789,641.0,"VICTORVILLE, CA",432,11,6,12
109,LANCASTER,CA,California,34.6935,-118.1753,343304,645.0,"LANCASTER, CA",299,28,12,16
110,GREENSBORO,NC,North Carolina,36.0956,-79.8269,343090,887.0,"GREENSBORO, NC",479,19,21,18
111,CORPUS CHRISTI,TX,Texas,27.726,-97.3755,342464,789.0,"CORPUS CHRISTI, TX",311,10,17,7
112,FORT WAYNE,IN,Indiana,41.0886,-85.1437,334122,943.0,"FORT WAYNE, IN",445,16,18,16
113,FLINT,MI,Michigan,43.0235,-83.6922,332190,1103.0,"FLINT, MI",611,1,18,4
114,SAN JUAN,PR,Puerto Rico,18.4037,-66.0636,331165,3234.0,"SAN JUAN, PR",2244,1,3,13
115,FAYETTEVILLE,NC,North Carolina,35.0846,-78.9776,327435,552.0,"FAYETTEVILLE, NC",512,12,17,13
116,JACKSON,MS,Mississippi,32.3163,-90.2124,325350,558.0,"JACKSON, MS",628,9,15,6
117,SANTA ROSA,CA,California,38.4458,-122.7067,324634,1605.0,"SANTA ROSA, CA",253,51,7,34
118,LANSING,MI,Michigan,42.7142,-84.5601,324286,1164.0,"LANSING, MI",409,14,15,10
119,ANN ARBOR,MI,Michigan,42.2755,-83.7312,322267,1659.0,"ANN ARBOR, MI",413,24,12,16
120,HUNTSVILLE,AL,Alabama,34.6988,-86.6412,319249,361.0,"HUNTSVILLE, AL",543,12,8,10
121,LEXINGTON,KY,Kentucky,38.0423,-84.4587,317110,439.0,"LEXINGTON, KY",226,12,9,25
122,MOBILE,AL,Alabama,30.6783,-88.1162,315502,522.0,"MOBILE, AL",576,24,25,11
123,FORT COLLINS,CO,Colorado,40.5478,-105.0656,312666,1149.0,"FORT COLLINS, CO",284,49,6,0
124,ASHEVILLE,NC,North Carolina,35.5704,-82.5536,312507,786.0,"ASHEVILLE, NC",686,33,13,11
125,SANTA CLARITA,CA,California,34.4175,-118.4964,312446,1162.0,"SANTA CLARITA, CA",198,15,11,32
126,ANTIOCH,CA,California,37.9789,-121.7958,302419,1466.0,"ANTIOCH, CA",210,8,9,16
127,LAKELAND,FL,Florida,28.0556,-81.9545,302284,654.0,"LAKELAND, FL",378,12,14,8
128,TRENTON,NJ,New Jersey,40.2236,-74.7641,290716,4238.0,"TRENTON, NJ",273,4,8,4
129,LINCOLN,NE,Nebraska,40.809,-96.6788,289490,1160.0,"LINCOLN, NE",229,24,13,8
130,SPRINGFIELD,MO,Missouri,37.1943,-93.2916,288090,786.0,"SPRINGFIELD, MO",368,31,16,15
131,DAVENPORT,IA,Iowa,41.5563,-90.6052,285362,617.0,"DAVENPORT, IA",358,13,13,11
132,ROCKFORD,IL,Illinois,42.2597,-89.0641,282762,873.0,"ROCKFORD, IL",396,7,15,5
133,SOUTH BEND,IN,Indiana,41.6767,-86.2696,280498,938.0,"SOUTH BEND, IN",417,9,19,19
134,SHREVEPORT,LA,Louisiana,32.4656,-93.7956,280062,672.0,"SHREVEPORT, LA",479,3,17,11
135,SAVANNAH,GA,Georgia,32.0281,-81.1784,276295,536.0,"SAVANNAH, GA",428,26,13,0
136,MYRTLE BEACH,SC,South Carolina,33.7096,-78.8843,275579,568.0,"MYRTLE BEACH, SC",493,17,9,13
137,EUGENE,OR,Oregon,44.0563,-123.1173,273439,1510.0,"EUGENE, OR",224,20,11,18
138,CANTON,OH,Ohio,40.8075,-81.3677,269418,1040.0,"CANTON, OH",431,6,18,7
139,LUBBOCK,TX,Texas,33.5659,-101.8878,267648,741.0,"LUBBOCK, TX",249,7,13,16
140,READING,PA,Pennsylvania,40.34,-75.9267,267155,3466.0,"READING, PA",269,4,9,4
141,WINTER HAVEN,FL,Florida,28.0118,-81.7017,267069,538.0,"WINTER HAVEN, FL",348,1,9,2
142,SALEM,OR,Oregon,44.9231,-123.0246,266804,1382.0,"SALEM, OR",196,35,13,18
143,LAFAYETTE,LA,Louisiana,30.2084,-92.0323,264357,877.0,"LAFAYETTE, LA",462,9,14,8
144,LAREDO,TX,Texas,27.5629,-99.4875,262079,958.0,"LAREDO, TX",170,3,12,4
145,CONCORD,NC,North Carolina,35.3933,-80.6366,261801,585.0,"CONCORD, NC",466,14,28,25
146,COLUMBUS,GA,Georgia,32.51,-84.8771,261445,349.0,"COLUMBUS, GA",380,13,14,8
147,MCKINNEY,TX,Texas,33.2015,-96.6669,258277,1148.0,"MCKINNEY, TX",191,9,41,56
148,KILLEEN,TX,Texas,31.0754,-97.7296,258009,1073.0,"KILLEEN, TX",219,4,12,10
149,TALLAHASSEE,FL,Florida,30.4551,-84.2526,257601,747.0,"TALLAHASSEE, FL",327,18,13,15
150,PEORIA,IL,Illinois,40.751999999999995,-89.6153,256286,888.0,"PEORIA, IL",371,9,15,9
151,WILMINGTON,NC,North Carolina,34.21,-77.8866,255616,929.0,"WILMINGTON, NC",346,17,12,13
152,MONTGOMERY,AL,Alabama,32.3473,-86.2666,254634,479.0,"MONTGOMERY, AL",397,9,18,9
153,ANCHORAGE,AK,Alaska,61.1508,-149.1091,247949,65.0,"ANCHORAGE, AK",220,8,16,25
154,VISALIA,CA,California,36.3276,-119.3269,237386,1370.0,"VISALIA, CA",164,12,11,17
155,ATLANTIC CITY,NJ,New Jersey,39.3797,-74.4527,237054,1354.0,"ATLANTIC CITY, NJ",324,5,6,11
156,NASHUA,NH,New Hampshire,42.7491,-71.491,233917,1118.0,"NASHUA, NH",472,3,6,8
157,YORK,PA,Pennsylvania,39.9651,-76.7315,233184,3204.0,"YORK, PA",342,10,9,7
158,EVANSVILLE,IN,Indiana,37.9881,-87.5341,230427,962.0,"EVANSVILLE, IN",307,6,12,6
159,AVONDALE,AZ,Arizona,33.3858,-112.3236,227289,750.0,"AVONDALE, AZ",227,3,12,19
160,GULFPORT,MS,Mississippi,30.4271,-89.0703,220987,497.0,"GULFPORT, MS",426,5,11,2
161,APPLETON,WI,Wisconsin,44.2779,-88.3891,220570,1156.0,"APPLETON, WI",268,9,9,5
162,BREMERTON,WA,Washington,47.5436,-122.7122,218400,561.0,"BREMERTON, WA",353,9,6,16
163,HICKORY,NC,North Carolina,35.7425,-81.32300000000001,218323,536.0,"HICKORY, NC",677,2,9,3
164,COLLEGE STATION,TX,Texas,30.5852,-96.296,215243,890.0,"COLLEGE STATION, TX",185,10,8,13
165,KALAMAZOO,MI,Michigan,42.2749,-85.5882,215193,1192.0,"KALAMAZOO, MI",341,13,13,8
166,THOUSAND OAKS,CA,California,34.1914,-118.8755,215029,885.0,"THOUSAND OAKS, CA",221,25,27,74
167,ROANOKE,VA,Virginia,37.2785,-79.958,214674,900.0,"ROANOKE, VA",321,11,10,10
168,NORTH PORT,FL,Florida,27.0577,-82.1975,209070,274.0,"NORTH PORT, FL",308,1,5,3
169,FARGO,ND,North Dakota,46.8652,-96.8292,208675,967.0,"FARGO, ND",182,12,10,8
170,GREEN BAY,WI,Wisconsin,44.515,-87.9896,207557,887.0,"GREEN BAY, WI",272,10,13,8
171,AMARILLO,TX,Texas,35.1988,-101.8311,205603,756.0,"AMARILLO, TX",210,6,11,8
172,PORTLAND,ME,Maine,43.6773,-70.2715,203969,1185.0,"PORTLAND, ME",352,17,6,12
173,SANTA BARBARA,CA,California,34.4285,-119.7202,202401,1808.0,"SANTA BARBARA, CA",144,41,5,14
174,GAINESVILLE,FL,Florida,29.6804,-82.3458,202335,820.0,"GAINESVILLE, FL",225,23,10,17
175,OLYMPIA,WA,Washington,47.0417,-122.8959,200915,1119.0,"OLYMPIA, WA",273,26,9,25
176,NORWICH,CT,Connecticut,41.5495,-72.0882,200289,533.0,"NORWICH, CT",393,6,3,3
177,DELTONA,FL,Florida,28.905,-81.2137,198361,960.0,"DELTONA, FL",249,6,6,3
178,WACO,TX,Texas,31.5598,-97.1881,192315,605.0,"WACO, TX",233,5,9,6
179,SALINAS,CA,California,36.6884,-121.6317,190972,2562.0,"SALINAS, CA",126,26,9,14
180,WATERBURY,CT,Connecticut,41.5583,-73.0361,189614,1456.0,"WATERBURY, CT",233,6,6,3
181,CLARKSVILLE,TN,Tennessee,36.5695,-87.34200000000001,188746,618.0,"CLARKSVILLE, TN",283,9,7,6
182,CEDAR RAPIDS,IA,Iowa,41.9665,-91.6782,188038,720.0,"CEDAR RAPIDS, IA",216,13,8,7
183,SIOUX FALLS,SD,South Dakota,43.5397,-96.73200000000001,187239,907.0,"SIOUX FALLS, SD",166,7,7,9
184,HUNTINGTON,WV,West Virginia,38.4109,-82.4344,186034,1073.0,"HUNTINGTON, WV",337,4,8,3
185,HAGERSTOWN,MD,Maryland,39.6401,-77.7217,184755,1272.0,"HAGERSTOWN, MD",345,10,10,4
186,ERIE,PA,Pennsylvania,42.1168,-80.0733,184484,1926.0,"ERIE, PA",213,8,10,5
187,NAMPA,ID,Idaho,43.5845,-116.5631,184428,1167.0,"NAMPA, ID",179,5,7,6
188,SPARTANBURG,SC,South Carolina,34.9437,-81.9257,182701,730.0,"SPARTANBURG, SC",492,11,11,6
189,GASTONIA,NC,North Carolina,35.2494,-81.1853,182581,577.0,"GASTONIA, NC",359,8,21,33
190,MURFREESBORO,TN,Tennessee,35.8492,-86.4119,179951,919.0,"MURFREESBORO, TN",200,17,10,10
191,HIGH POINT,NC,North Carolina,35.9907,-79.9938,179913,777.0,"HIGH POINT, NC",292,3,14,6
192,HEMET,CA,California,33.7341,-116.9969,177253,1125.0,"HEMET, CA",127,6,5,9
193,SANTA CRUZ,CA,California,36.9789,-122.0346,176428,1957.0,"SANTA CRUZ, CA",151,24,4,12
194,DANBURY,CT,Connecticut,41.4016,-73.471,176030,779.0,"DANBURY, CT",341,14,6,7
195,VALLEJO,CA,California,38.1133,-122.2358,173256,1524.0,"VALLEJO, CA",108,12,8,11
196,MEDFORD,OR,Oregon,42.3372,-122.8537,170876,1243.0,"MEDFORD, OR",167,12,6,11
197,MARYSVILLE,WA,Washington,48.0809,-122.1561,170009,1308.0,"MARYSVILLE, WA",211,4,6,15
198,OCALA,FL,Florida,29.178,-82.1511,169383,496.0,"OCALA, FL",290,6,11,6
199,FREDERICKSBURG,VA,Virginia,38.2992,-77.4872,168909,1072.0,"FREDERICKSBURG, VA",201,11,12,10
200,GAINESVILLE,GA,Georgia,34.2903,-83.8301,167371,506.0,"GAINESVILLE, GA",327,6,5,6
201,MANCHESTER,NH,New Hampshire,42.9848,-71.4447,162877,1315.0,"MANCHESTER, NH",223,6,6,5
202,CHAMPAIGN,IL,Illinois,40.1144,-88.2735,159443,1503.0,"CHAMPAIGN, IL",121,14,9,8
203,SPRINGFIELD,IL,Illinois,39.771,-89.6538,158509,723.0,"SPRINGFIELD, IL",239,9,13,6
204,LAFAYETTE,IN,Indiana,40.399,-86.8594,157820,942.0,"LAFAYETTE, IN",166,7,9,12
205,FREDERICK,MD,Maryland,39.4336,-77.4141,156787,1172.0,"FREDERICK, MD",190,20,11,6
206,LAKE CHARLES,LA,Louisiana,30.2012,-93.2122,156181,674.0,"LAKE CHARLES, LA",327,5,7,6
207,TUSCALOOSA,AL,Alabama,33.2348,-87.5267,155499,631.0,"TUSCALOOSA, AL",231,8,9,5
208,WARNER ROBINS,GA,Georgia,32.597,-83.6529,155140,805.0,"WARNER ROBINS, GA",260,5,7,2
209,MIDLAND,TX,Texas,32.0249,-102.1137,154793,758.0,"MIDLAND, TX",137,4,4,5
210,LEESBURG,FL,Florida,28.7657,-81.8996,154574,249.0,"LEESBURG, FL",244,4,5,1
211,PORT ARTHUR,TX,Texas,29.8554,-93.9264,154468,272.0,"PORT ARTHUR, TX",273,1,3,2
212,MUSKEGON,MI,Michigan,43.2281,-86.2563,153565,998.0,"MUSKEGON, MI",290,7,8,1
213,MACON,GA,Georgia,32.8065,-83.6974,153159,237.0,"MACON, GA",253,13,9,3
214,NEW BEDFORD,MA,Massachusetts,41.6697,-70.9428,149910,1840.0,"NEW BEDFORD, MA",142,7,7,2
215,FAIRFIELD,CA,California,38.2592,-122.0324,148683,1097.0,"FAIRFIELD, CA",102,22,25,45
216,BINGHAMTON,NY,New York,42.1014,-75.9093,148145,1635.0,"BINGHAMTON, NY",192,12,7,4
217,ELKHART,IN,Indiana,41.6916,-85.9628,147567,734.0,"ELKHART, IN",237,2,6,7
218,TOPEKA,KS,Kansas,39.0346,-95.6955,147458,787.0,"TOPEKA, KS",206,11,10,5
219,BEAUMONT,TX,Texas,30.0849,-94.1451,146091,547.0,"BEAUMONT, TX",237,3,14,7
220,MERCED,CA,California,37.3057,-120.4778,145149,1390.0,"MERCED, CA",123,7,5,5
221,PUEBLO,CO,Colorado,38.2705,-104.6112,143932,789.0,"PUEBLO, CO",192,11,7,6
222,TYLER,TX,Texas,32.3184,-95.3062,143796,718.0,"TYLER, TX",233,6,9,7
223,YUMA,AZ,Arizona,32.5992,-114.5488,142847,313.0,"YUMA, AZ",152,3,7,10
224,COLUMBIA,MO,Missouri,38.9478,-92.3256,141645,725.0,"COLUMBIA, MO",160,5,5,6
225,ATHENS,GA,Georgia,33.9508,-83.3689,141532,421.0,"ATHENS, GA",254,16,7,7
226,SANTA MARIA,CA,California,34.9334,-120.4432,140545,1815.0,"SANTA MARIA, CA",75,13,7,11
227,GRAND JUNCTION,CO,Colorado,39.0876,-108.5673,139143,621.0,"GRAND JUNCTION, CO",204,19,5,14
228,CHARLESTON,WV,West Virginia,38.3484,-81.6323,138706,570.0,"CHARLESTON, WV",254,3,7,5
229,GREELEY,CO,Colorado,40.4151,-104.7706,137810,858.0,"GREELEY, CO",106,8,9,10
230,LAS CRUCES,NM,New Mexico,32.3265,-106.7892,136254,519.0,"LAS CRUCES, NM",167,4,8,8
231,PANAMA CITY,FL,Florida,30.1995,-85.6004,136133,382.0,"PANAMA CITY, FL",238,5,12,10
232,HARLINGEN,TX,Texas,26.1917,-97.6976,136037,626.0,"HARLINGEN, TX",214,2,4,3
233,BLOOMINGTON,IL,Illinois,40.4757,-88.9703,133846,1100.0,"BLOOMINGTON, IL",127,19,8,6
234,YAKIMA,WA,Washington,46.5923,-120.5496,133191,1300.0,"YAKIMA, WA",155,8,8,9
235,BURLINGTON,NC,North Carolina,36.0758,-79.4686,131043,707.0,"BURLINGTON, NC",234,6,7,4
236,BELLINGHAM,WA,Washington,48.7543,-122.4687,130641,1287.0,"BELLINGHAM, WA",124,23,5,13
237,RACINE,WI,Wisconsin,42.7274,-87.8135,130142,1915.0,"RACINE, WI",128,1,8,2
238,GREENVILLE,NC,North Carolina,35.5956,-77.3768,130118,1012.0,"GREENVILLE, NC",168,6,8,5
239,JOHNSON CITY,TN,Tennessee,36.3406,-82.3803,127571,599.0,"JOHNSON CITY, TN",284,5,10,8
240,LYNCHBURG,VA,Virginia,37.4003,-79.1909,126814,647.0,"LYNCHBURG, VA",230,9,8,6
241,SIMI VALLEY,CA,California,34.2663,-118.749,126589,1167.0,"SIMI VALLEY, CA",81,13,9,21
242,FORT SMITH,AR,Arkansas,35.3493,-94.3695,125354,536.0,"FORT SMITH, AR",183,1,9,3
243,KENOSHA,WI,Wisconsin,42.5864,-87.8765,124972,1378.0,"KENOSHA, WI",132,4,9,6
